Gene	Pathway1	Pathway2	BCCount	Type	meanWTfraction	SumTrial	SumCounts	meanLFC	meanPScore	meanManHdist	meanEuclDist	sdType	RankUp	RankPval
Trp53	unassigned	""	5	Deletion (1-14bp)	0.204140016	2582422	658623	0.02375244	87.89450903	87.94239816	87.89453561	0.049090684	3933	1
Trp53bp1	53BP1	EJ	5	Deletion (1-14bp)	0.479018492	111617	22380	-0.292612378	58.74789744	59.04050982	58.74882051	0.049090684	17542	2
H2ax	EJ	""	4	Deletion (1-14bp)	0.629587687	47887	15168	0.327744892	57.23173695	57.55948184	57.23322913	0.049090684	1	3
Zfp354a	unassigned	""	4	Deletion (1-14bp)	0.492024629	64921	15678	-0.073705909	42.06594936	42.33792975	42.06724053	0.049090684	16441	4
Plgrkt	unassigned	""	4	Deletion (1-14bp)	0.499723943	50013	13872	0.128829431	40.50370524	40.73504707	40.50509258	0.049090684	223	5
Xrcc5	EJ	""	5	Deletion (1-14bp)	0.477184666	56171	14426	0.057895754	38.22049361	38.52626757	38.221997	0.049090684	1454	6
Xrcc6	EJ	""	5	Deletion (1-14bp)	0.519259116	67103	16049	-0.054152175	37.15017904	37.42093625	37.15138084	0.049090684	15139	7
Ccdc6	unassigned	""	5	Deletion (1-14bp)	0.395884022	229231	51578	-0.126523441	34.80678683	34.93331027	34.80715953	0.049090684	17415	8
Hoxb5	unassigned	""	5	Deletion (1-14bp)	0.498075309	91378	23831	0.088535951	32.17750475	32.35732457	32.1783125	0.049090684	631	9
Bard1	HR	""	4	Deletion (1-14bp)	0.553576781	30575	9609	0.32085428	28.61703843	28.93789271	28.61940812	0.049090684	2	10
Spata2	unassigned	""	4	Deletion (1-14bp)	0.493530652	107083	23603	-0.175703691	28.0672881	28.25791964	28.06811823	0.049090684	17523	11
Oc90	unassigned	""	4	Deletion (1-14bp)	0.490588656	74356	18250	0.00653004	25.51776216	25.71997793	25.51885501	0.049090684	6271	12
Fancb	FA/ICL	""	4	Deletion (1-14bp)	0.614191274	36448	10707	0.198013019	24.69923812	24.92084603	24.70114318	0.049090684	38	13
Pdcl3	unassigned	""	3	Deletion (1-14bp)	0.543792837	54727	13542	-0.053816235	24.00751533	24.25939094	24.0089807	0.049090684	15114	14
Khdrbs1	unassigned	""	4	Deletion (1-14bp)	0.533848487	91154	23183	-0.008178109	23.92504904	24.07227185	23.92590727	0.049090684	8680	15
