Barcode	X1	X2	Gene	Pathway1	Pathway2	Highlight	label	alpha	size
Actr1b-2	-1.86412946519147	-2.00632595320392	Actr1b	""	""	""	Actr1b	1	1
Actr1b-5	-1.80540996412769	-1.73670632854807	Actr1b	""	""	""	Actr1b	1	1
Aptx-1	0.0387077607471982	2.39672546944601	Aptx	BER/SSBR	EJ	""	BER/SSBR	1	1
Aptx-3	-0.00948242003982047	2.34212543488796	Aptx	BER/SSBR	EJ	""	BER/SSBR	1	1
Aptx-5	-0.00189439966979954	2.4311355740853	Aptx	BER/SSBR	EJ	""	BER/SSBR	1	1
Armc7-2	1.00842244375359	0.848441012216694	Armc7	""	""	""	Armc7	1	1
Ascc3-4	2.30610424484936	3.32292391031309	Ascc3	""	""	""	Ascc3	1	1
Atm-1	1.77359861400467	1.61214388189077	Atm	""	""	""	Atm	1	1
Atm-3	1.5628454957386	1.55801881260353	Atm	""	""	""	Atm	1	1
Atm-4	1.62145784481939	1.53823795362678	Atm	""	""	""	Atm	1	1
Atp6v1b2-3	2.29366820269516	4.43952349395789	Atp6v1b2	""	""	""	Atp6v1b2	1	1
Atp6v1b2-5	1.11925271016995	3.77697910855443	Atp6v1b2	""	""	""	Atp6v1b2	1	1
Atp6v1e1-1	2.77729898178908	4.71190763855926	Atp6v1e1	""	""	""	Atp6v1e1	1	1
Atrip-2	1.66053568693181	3.52289846346958	Atrip	FORK QC	""	""	FORK QC	1	1
Bard1-2	4.89252444446453	4.96577994071732	Bard1	HR	""	""	HR	1	1
Bard1-3	4.67889112667488	5.00787926528615	Bard1	HR	""	""	HR	1	1
Bard1-5	4.84181312688659	4.8797090129082	Bard1	HR	""	""	HR	1	1
Bcas2-5	1.66564225168488	1.516398077702	Bcas2	""	""	""	Bcas2	1	1
Brca1-1	4.63132137683563	5.01596676208239	Brca1	HR	FA/ICL	""	HR	1	1
Brca1-4	5.01661464221566	5.0080524693331	Brca1	HR	FA/ICL	""	HR	1	1
Brd4-5	1.84874416295503	1.79401617007849	Brd4	""	""	""	Brd4	1	1
Brf2-5	1.39737683926605	4.13556988550389	Brf2	""	""	""	Brf2	1	1
Cip2a-2	1.55914475060742	0.684836363339297	Cip2a	FORK QC	""	""	FORK QC	1	1
Cip2a-3	1.60965248668014	0.591668960594933	Cip2a	FORK QC	""	""	FORK QC	1	1
Cip2a-5	1.63510238027915	0.463297272386325	Cip2a	FORK QC	""	""	FORK QC	1	1
Cop1-1	0.823874654659373	3.01618627460771	Cop1	""	""	""	Cop1	1	1
Cop1-4	1.23427473235523	3.12420956819799	Cop1	""	""	""	Cop1	1	1
Cops4-3	1.10050690658096	1.63000275908725	Cops4	""	""	""	Cops4	1	1
Cops4-4	0.913209616042086	1.67994018450213	Cops4	""	""	""	Cops4	1	1
Cops5-4	1.76758119677125	1.507409708845	Cops5	""	""	""	Cops5	1	1
Cops5-5	0.822775398266925	1.40010644149078	Cops5	""	""	""	Cops5	1	1
Cops8-2	0.968729642694763	1.85903888957861	Cops8	""	""	""	Cops8	1	1
Cpsf4-4	0.999773547852281	-0.40902183365319	Cpsf4	""	""	""	Cpsf4	1	1
Ctc1-2	3.6893862845367	-5.96222698385013	Ctc1	53BP1	EJ	""	53BP1	1	1
Ctc1-3	3.74632776079367	-6.01481880447638	Ctc1	53BP1	EJ	""	53BP1	1	1
Ctc1-5	3.62409415762062	-6.14285195911194	Ctc1	53BP1	EJ	""	53BP1	1	1
Dbr1-1	4.71950972026409	1.45998747931578	Dbr1	""	""	Yes	Dbr1	1	1
Dbr1-2	4.80100499017541	1.56921737907938	Dbr1	""	""	Yes	Dbr1	1	1
Dbr1-4	4.4321181455027	1.46515360995132	Dbr1	""	""	Yes	Dbr1	1	1
Dclre1c-2	3.20395520152207	-5.87011761933004	Dclre1c	EJ	53BP1	""	EJ	1	1
Dclre1c-4	3.28895440661684	-5.83019712759945	Dclre1c	EJ	53BP1	""	EJ	1	1
Dclre1c-5	3.24214059788685	-5.75592788071236	Dclre1c	EJ	53BP1	""	EJ	1	1
Dhps-1	2.60957032837653	2.38086813495046	Dhps	""	""	""	Dhps	1	1
Dhps-3	2.4072182559026	2.67395712631373	Dhps	""	""	""	Dhps	1	1
Dhps-5	2.62936064100825	2.37204245582884	Dhps	""	""	""	Dhps	1	1
Dnm2-1	0.72847946650432	3.46457380326347	Dnm2	""	""	""	Dnm2	1	1
Dohh-3	2.36338168901285	2.75940445153956	Dohh	""	""	""	Dohh	1	1
Dohh-4	2.3624832401647	2.72214915152652	Dohh	""	""	""	Dohh	1	1
Dtl-5	1.52099690122584	1.41288160323771	Dtl	""	""	""	Dtl	1	1
Dut-1	5.07232411074694	4.69318375738009	Dut	""	""	""	Dut	1	1
Dut-5	4.67211294045956	4.9501732102302	Dut	""	""	""	Dut	1	1
Eif5a-2	4.74323269172941	1.52983011866258	Eif5a	""	""	""	Eif5a	1	1
Ercc1-4	1.29814751398789	3.48779036449437	Ercc1	NER	""	""	NER	1	1
Faap100-2	3.71145407051195	4.67612103529998	Faap100	FA/ICL	""	""	FA/ICL	1	1
Faap100-3	3.42189391629259	4.73369427619841	Faap100	FA/ICL	""	""	FA/ICL	1	1
Faap100-5	3.477860679954	4.79262847294436	Faap100	FA/ICL	""	""	FA/ICL	1	1
Fanca-1	3.54087447751391	4.83814469680478	Fanca	FA/ICL	""	""	FA/ICL	1	1
Fanca-2	2.62507615804176	4.64764778626855	Fanca	FA/ICL	""	""	FA/ICL	1	1
Fanca-5	4.31387576993003	4.79344809888846	Fanca	FA/ICL	""	""	FA/ICL	1	1
Fancb-1	3.73210040923718	4.69773727692045	Fancb	FA/ICL	""	""	FA/ICL	1	1
Fancb-3	3.72766406777689	4.72424647778183	Fancb	FA/ICL	""	""	FA/ICL	1	1
Fancb-5	3.50004265147255	4.54093544587246	Fancb	FA/ICL	""	""	FA/ICL	1	1
Fancc-1	3.72626232142309	4.76586499079428	Fancc	FA/ICL	""	""	FA/ICL	1	1
Fancc-2	4.1383656983453	4.78271968584906	Fancc	FA/ICL	""	""	FA/ICL	1	1
Fancc-4	1.44094260097251	3.62036498260755	Fancc	FA/ICL	""	""	FA/ICL	1	1
Fancd2-1	2.6856820429303	4.60131603946572	Fancd2	FA/ICL	""	""	FA/ICL	1	1
Fancd2-2	3.17555982422987	4.51835813825469	Fancd2	FA/ICL	""	""	FA/ICL	1	1
Fancd2-4	3.18789827688685	4.56601369526309	Fancd2	FA/ICL	""	""	FA/ICL	1	1
Fancf-2	1.9299829592484	4.13380197333895	Fancf	FA/ICL	""	""	FA/ICL	1	1
Fancf-4	2.76060506631313	4.8190330580705	Fancf	FA/ICL	""	""	FA/ICL	1	1
Fancf-5	2.76959052461614	4.80355083485855	Fancf	FA/ICL	""	""	FA/ICL	1	1
Fancg-1	2.47434281632556	4.78904435719241	Fancg	FA/ICL	""	""	FA/ICL	1	1
Fancg-3	3.91569768575843	4.88767805967184	Fancg	FA/ICL	""	""	FA/ICL	1	1
Fanci-1	3.11977904497917	4.63842973574594	Fanci	FA/ICL	""	""	FA/ICL	1	1
Fanci-2	3.28869863512652	4.42450401073721	Fanci	FA/ICL	""	""	FA/ICL	1	1
Fancl-3	3.76625741297405	4.82964571161835	Fancl	FA/ICL	""	""	FA/ICL	1	1
Fancl-4	3.43896628947418	4.98515985235395	Fancl	FA/ICL	""	""	FA/ICL	1	1
Fancl-5	3.73700773684827	4.55483069914681	Fancl	FA/ICL	""	""	FA/ICL	1	1
Fancm-4	2.67949960627025	4.78431071806966	Fancm	FA/ICL	""	""	FA/ICL	1	1
Fen1-4	-0.161796085443362	2.16027028263741	Fen1	BER/SSBR	RER	""	BER/SSBR	1	1
H2ax-1	5.13559002839165	1.33198598277484	H2ax	EJ	""	""	EJ	1	1
H2ax-3	4.91289164696143	1.43392979841012	H2ax	EJ	""	""	EJ	1	1
H2ax-4	4.96643655821872	1.43691584383826	H2ax	EJ	""	""	EJ	1	1
Helb-1	-1.6976403713907	-0.0180125914894145	Helb	""	""	Yes	Helb	1	1
